watch_id,name,brand,price,material,reference,condition,image_url
90,Pre-Owned Rolex GMT-Master II Red & Blue 16710 Pepsi Bezel,Rolex,15495.0,Stainless Steel,16710,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-16710-SKU182919.jpg
91,Pre-Owned Ladies Rolex Datejust Steel & Gold 69173 Diamond Dial,Rolex,6595.0,Steel and Gold,69173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-69173-SKU186208.jpg
92,Pre-Owned Rolex Cosmograph Daytona 126509 Bright Blue Dial,Rolex,61495.0,White Gold,126509,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-126509-SKU187364.jpg
93,Pre-Owned Rolex Yacht-Master II White Dial ref 116680,Rolex,19495.0,Stainless Steel,116680WAO,Used,https://www.bobswatches.com/images/zUsed-Rolex-Yacht-Master-116680-SKU186676-PL.jpg
94,Used Rolex Oyster Perpetual Ref 126000 Blue Dial,Rolex,9995.0,Stainless Steel,126000,Used,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Perpetual-36-126000-SKU184070-PL.jpg
95,Breitling Avenger B01 Chronograph 44 Green Dial Stainless Steel,Breitling,4795.0,Stainless Steel,AB0147101L1A1,Used,https://www.bobswatches.com/breitling/images/zBreitling-Avenger-B01-AB0147101L1A1-Green-Dial-SKU173567.jpg
96,Pre-Owned Rolex Oyster Perpetual 36 Ref 116000 Steel Dial,Rolex,9495.0,Stainless Steel,116000,Used,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Perpetual-36-116000-SKU186286.jpg
97,Audemars Piguet Royal Oak Offshore 42MM Stainless Steel,Audemars Piguet,23595.0,Stainless Steel,26470ST.OO.A101CR.01,Used,https://www.bobswatches.com/audemars-piguet/images/zUsed-Audemars-Piguet-Royal-Oak-Offshore-26470ST.OO.A101CR.01-SKU173391.jpg
98,Pre-Owned Rolex Datejust 36 ref 16000 Silver Dial,Rolex,5995.0,Stainless Steel,16000,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-16000-SKU180170.jpg
99,Pre-Owned Rolex Oyster Perpetual 41 Silver Dial 124300,Rolex,9495.0,Stainless Steel,124300,Used,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Perpetual-41-124300-SKU186875.jpg
